OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,tmn_2014_0,tmn_2014_1,tmn_2014_2,tmn_2014_3,tmn_2014_4,tmn_2014_5,tmn_2014_6,tmn_2014_7,tmn_2014_8,tmn_2014_9,tmn_201410,tmn_201411,tmn_2015_0,tmn_2015_1,tmn_2015_2,tmn_2015_3,tmn_2015_4,tmn_2015_5,tmn_2015_6,tmn_2015_7,tmn_2015_8,tmn_2015_9,tmn_201510,tmn_201511,tmn_2016_0,tmn_2016_1,tmn_2016_2,tmn_2016_3,tmn_2016_4,tmn_2016_5,tmn_2016_6,tmn_2016_7,tmn_2016_8,tmn_2016_9,tmn_201610,tmn_201611,tmn_2017_0,tmn_2017_1,tmn_2017_2,tmn_2017_3,tmn_2017_4,tmn_2017_5,tmn_2017_6,tmn_2017_7,tmn_2017_8,tmn_2017_9,tmn_201710,tmn_201711
11,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIRAFIA EST,20.81861783,20.73917107,20.11130441,18.68584689,15.95183773,14.85592042,14.35446388,14.43161944,15.2825037,17.11972455,18.90551279,20.19231252,20.61861707,20.34357882,20.0027474,18.98603152,16.62807924,14.93190424,14.37733199,14.13161959,15.08250306,17.72279884,18.80551241,20.79231291,21.14148537,21.21189499,20.80274663,19.0860319,15.22807965,13.75592003,13.5773318,14.23161997,15.18250344,17.42209367,17.02837941,20.39142425,21.24148575,20.73935416,20.40274701,18.88603114,16.62807924,15.25592003,14.47822064,14.43180253,15.58268634,17.62298346,18.50021431,19.89116472
12,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANA,20.62908142,20.52183646,19.87562684,18.45026008,15.73414313,14.66582322,14.13875325,14.20001234,15.03120529,16.90114204,18.68070918,19.96703219,20.42908166,20.12765385,19.76477628,18.75026362,16.42092364,14.7518226,14.15195187,13.90001236,14.83120462,17.50615294,18.5807088,20.56703358,20.94228006,21.00282111,20.56477552,18.850264,15.02092464,13.56582281,13.35195168,14.00001274,14.931205,17.20613698,16.79390645,20.16701374,21.04228035,20.52183885,20.1647759,18.65026324,16.42092364,15.06582284,14.25197047,14.20001473,15.33120701,17.40615565,18.27487198,19.66623056
13,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRAKELY,20.3517227,20.0892727,19.59773958,18.1581019,15.39162822,14.22459764,13.70717446,13.83043892,14.73468483,16.66840074,18.47477183,19.76203265,20.15172194,19.71010705,19.46113232,18.45810193,16.07240232,14.30031349,13.72639922,13.53043913,14.53468407,17.28417435,18.37477145,20.36203303,20.67094708,20.5492147,20.26113156,18.55810231,14.6724023,13.12459726,12.92639903,13.63043911,14.63468445,16.98417511,16.59399657,19.96203342,20.77094747,20.0892727,19.86113194,18.35810266,16.07240232,14.62459726,13.82639904,13.83043892,15.03468407,17.18417588,18.05393745,19.45697459
14,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHINIHAONANA,20.3164517,20.1588404,19.59045951,18.12468076,15.40236274,14.29579376,13.75769146,13.86480873,14.6987032,16.58295045,18.35956994,19.68919521,20.11645094,19.77159657,19.4677561,18.42468185,16.08311696,14.37373806,13.77693691,13.56480853,14.49870281,17.19289491,18.25956956,20.2891956,20.63569675,20.62683799,20.26775533,18.52468223,14.68311654,13.19579338,12.97693672,13.66480892,14.59870319,16.89289567,16.47881406,19.88919488,20.7356969,20.1588404,19.86775571,18.32468153,16.08311696,14.69579338,13.87693688,13.86480873,14.99870281,17.0928962,17.94681159,19.38638456
15,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIMANGA EST,20.67676817,20.47543482,19.87841286,18.41761772,15.66327968,14.64414609,14.10320598,14.19449707,15.03203085,16.94044186,18.74315683,20.00709734,20.47676744,20.08693368,19.75491569,18.71761887,16.36044043,14.74082853,14.10604457,13.8943663,14.83203012,17.55243999,18.64315649,20.60709772,20.97960605,20.96109794,20.55491493,18.81761925,14.96044049,13.54414535,13.30702411,13.99449726,14.93203051,17.25159149,16.84599395,20.20709778,21.07960689,20.47543482,20.15491531,18.61761849,16.36044043,15.04414573,14.20604404,14.19449707,15.33203012,17.45159225,18.33080826,19.7067495
16,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHITSARA I,20.4178148,20.23517333,19.64837579,18.19020037,15.44494713,14.39059953,13.82896971,13.9169753,14.78717687,16.67189151,18.49263366,19.76890011,20.21781459,19.85025373,19.51992499,18.49020151,16.13546609,14.47941035,13.83845004,13.61697513,14.58717663,17.28526171,18.39263327,20.36890049,20.72729556,20.7106131,20.31992423,18.59020189,14.73546604,13.29059902,13.03844985,13.71697549,14.68717702,16.98526247,16.60211261,19.96890087,20.8272949,20.23517333,19.91992461,18.39020113,16.13546609,14.79059915,13.93844974,13.9169753,15.08717663,17.18526163,18.07755238,19.46719205
17,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SAHOFIKA,20.50839188,20.2881866,19.7235497,18.2462567,15.44187312,14.41884881,13.84758847,13.9509491,14.85610791,16.76210944,18.60276638,19.88560795,20.30839156,19.91035068,19.58057971,18.54625784,16.13698572,14.51258542,13.85247566,13.65094554,14.65610728,17.38291415,18.5027663,20.48560806,20.81327831,20.76113596,20.38057895,18.64625822,14.73698517,13.31884843,13.05249503,13.75094929,14.75610753,17.08289942,16.70765209,20.08560844,20.9132787,20.2881866,19.98057933,18.44625746,16.13698572,14.81884843,13.95247534,13.9509491,15.15610728,17.28289974,18.18058597,19.58423619
18,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANDRORANGAVOLA VATOFOTSY,19.62611979,19.31222924,18.81681138,17.303727,14.62802403,13.51088323,12.9116265,13.02885702,13.97337669,15.90057513,17.73452776,19.06688973,19.42612026,18.94744289,18.64991757,17.60372688,15.32181284,13.60114005,12.91783732,12.72885771,13.77337677,16.53225552,17.63452802,19.66688966,19.93233131,19.77080501,19.4499168,17.70372726,13.92181239,12.41088289,12.11783709,12.8288573,13.87337692,16.23225576,15.84073805,19.26688987,20.03233169,19.31222924,19.04991719,17.50372772,15.32181284,13.91088285,13.01783691,13.02885702,14.27337677,16.43225596,17.29931465,18.76335733
19,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT TSARATANANA,20.38942245,20.13386707,19.63366905,18.17902039,15.39173796,14.2884998,13.74366457,13.85857482,14.76943508,16.68889146,18.51826632,19.78825662,20.18942252,19.75540404,19.49412228,18.47902061,16.07875958,14.37199602,13.75664222,13.55857463,14.56943432,17.30690188,18.4182661,20.388257,20.70240017,20.59935291,20.29412152,18.579021,14.67875954,13.18849942,12.95664203,13.65857501,14.6694347,17.00690265,16.63124435,19.98825738,20.80240055,20.13386707,19.8941219,18.37902115,16.07875958,14.68849942,13.85664214,13.85857482,15.06943432,17.20690258,18.09672928,19.48473191
20,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIGOAVY,20.43083142,20.09436968,19.6300545,18.16285028,15.3637594,14.25971541,13.70555724,13.83466043,14.79252134,16.72390976,18.5467077,19.845852,20.23083073,19.72321417,19.47593637,18.46285143,16.05495553,14.34734427,13.71436001,13.53466025,14.59252059,17.34918551,18.44670915,20.44585235,20.73963352,20.55672274,20.27593561,18.56285181,14.65495586,13.15971502,12.91435982,13.63466062,14.69252095,17.04918628,16.65551084,20.04585274,20.8396339,20.09436968,19.87593599,18.36285105,16.05495553,14.65971502,13.81436037,13.83466043,15.09252059,17.24918697,18.1178639,19.54228583
21,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIMANGA OUEST,19.92250737,19.56929714,19.13246982,17.67191011,14.94793104,13.80816604,13.23972886,13.38201681,14.30844146,16.2534958,18.06576193,19.35954848,19.7225066,19.19758017,18.98179693,17.97191105,15.63298851,13.88733255,13.25467026,13.08201661,14.10844154,16.87588625,17.96576155,19.95954886,20.23744799,20.02607501,19.78179616,18.07191143,14.23298889,12.70816565,12.45467006,13.182017,14.20844107,16.5758853,16.180702,19.55954925,20.33744838,19.56929714,19.38179654,17.87191087,15.63298851,14.20816565,13.35466968,13.38201681,14.60844154,16.77588607,17.63747796,19.05365687
22,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT VOHITRARIVO,20.1490897,19.79876083,19.3518368,17.88839354,15.12952682,14.00743263,13.44322439,13.58045385,14.52432924,16.46397818,18.28043883,19.5780085,19.94908897,19.42770613,19.19880924,18.18839467,15.81760905,14.09065456,13.45514103,13.28045366,14.32432896,17.08806169,18.18043934,20.17800888,20.46100562,20.25790021,19.99880848,18.28839506,14.41760941,12.90743224,12.65514084,13.38045404,14.42432886,16.78806149,16.39235489,19.77800926,20.561006,19.79876083,19.59880886,18.0883943,15.81760905,14.40743224,13.55514092,13.58045385,14.82432896,16.98806221,17.85149329,19.27314837
23,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIPO,19.35119221,19.00899733,18.55585019,17.05001769,14.40178128,13.26345906,12.65792342,12.78105297,13.72449084,15.657375,17.4735943,18.81849012,19.15119279,18.644029,18.39072703,17.35001764,15.09267598,13.3494155,12.66702825,12.48105345,13.52449077,16.28746754,17.37359443,19.4184905,19.66029746,19.46486143,19.19072626,17.45001803,13.69267569,12.16345868,11.86702806,12.58105316,13.62449098,15.98746758,15.58269879,19.01849088,19.76029785,19.00899733,18.79072664,17.25001846,15.09267598,13.66345868,12.76702808,12.78105297,14.02449077,16.18746782,17.0385632,18.51355242
24,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT RANOMAFANA,17.6924832,17.53940712,17.05795372,15.42888948,12.87623661,11.6127329,10.96789971,11.17118036,12.18654267,14.15635534,15.95832595,17.29079226,17.49248347,17.20055749,16.83408962,15.72888953,13.57500233,11.70436248,10.96913396,10.86564127,11.98654224,14.81906947,15.85832644,17.89079264,17.99371751,17.97702298,17.63408877,15.82888975,12.17500221,10.51273252,10.17783448,10.9711806,12.08654262,14.51590821,14.0595596,17.49079183,18.09371808,17.53940712,17.23408889,15.62889023,13.57500233,12.01273252,11.06913387,11.17118036,12.48654224,14.71590856,15.49401456,16.98919517
25,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT AMBATOLAHY,17.22232707,17.03376693,16.60679436,14.9138722,12.34328496,11.0542365,10.42581223,10.60055641,11.58791108,13.6118107,15.43212539,16.80771668,17.02232696,16.69896997,16.37996682,15.21387212,13.04116555,11.14774414,10.42793109,10.30002833,11.38791082,14.27343615,15.33212606,17.40771706,17.52444605,17.46644518,17.17996606,15.3138725,11.64116533,9.954236118,9.62872757,10.4005566,11.4879112,13.97316816,13.534244,17.00771637,17.62444643,17.03376693,16.77996644,15.11387296,13.04116555,11.45423612,10.52793138,10.60055641,11.88791082,14.17316833,14.96665417,16.5038712
26,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT TSARAMANDROSO,18.60851807,18.35356586,17.8621548,16.32253671,13.7201486,12.53492308,11.92792678,12.07682565,13.06367815,15.03353778,16.81013661,18.1102264,18.40851797,18.00139975,17.6710141,16.62253645,14.4153433,12.62535661,11.93273197,11.77671722,12.86367807,15.67684502,16.71013664,18.71022678,18.91332334,18.80092751,18.47101334,16.72253683,13.015343,11.43492289,11.1329677,11.87682581,12.96367845,15.37671818,14.91494058,18.31022598,19.01332396,18.35356586,18.07101372,16.52253718,14.4153433,12.9349227,12.03273166,12.07682565,13.36367807,15.57671762,16.36217471,17.80557281
27,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT VOHIMARINA,19.44093866,19.28272716,18.72695492,17.29749727,14.52910919,13.37581299,12.70554215,12.98502997,13.98901062,15.94346221,17.72421472,18.98920252,19.24093845,18.9359275,18.50986727,17.59749792,15.22910919,13.46355036,12.70554215,12.67276746,13.78901048,16.60735028,17.62421536,19.5892029,19.74093845,19.7295272,19.30986651,17.69749823,13.82910887,12.2758128,11.92849305,12.78503016,13.88901086,16.29666184,15.82421427,19.18920169,19.84093877,19.28272716,18.90986687,17.49749803,15.22910919,13.7758128,12.80554206,12.98502997,14.28901048,16.4966626,17.26032696,18.68920171
28,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT MENARANO,19.07525585,18.86035124,18.31004482,16.85275959,14.17671752,12.96243844,12.32742051,12.59560621,13.61287055,15.59111453,17.31989508,18.61211137,18.87525508,18.51451841,18.09802178,17.15275882,14.87671733,13.05807812,12.32742051,12.29124577,13.41286978,16.24897078,17.2198947,19.21211175,19.37525508,19.30618445,18.89802102,17.25275921,13.47671771,11.86243806,11.53547149,12.39560691,13.51287017,15.94528056,15.419894,18.81211213,19.47525547,18.86035124,18.4980214,17.05276035,14.87671733,13.36243806,12.42742089,12.59560621,13.91286978,16.14528132,16.86203769,18.31211213
29,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT AMBODIAVIAVY,19.44218084,19.18073992,18.65557895,17.19765055,14.4822821,13.28341722,12.65098432,12.92342795,13.93580336,15.91264769,17.63911754,18.92822448,19.24218048,18.83313721,18.44880177,17.49764979,15.18228191,13.38123473,12.65098432,12.62124489,13.7358026,16.56702796,17.53911715,19.52822486,19.74218048,19.62834301,19.248801,17.59765017,13.78228229,12.18341684,11.85515073,12.72342869,13.83580298,16.26504424,15.73911621,19.12822524,19.84218086,19.18073992,18.84880138,17.39765132,15.18228191,13.68341684,12.7509847,12.92342795,14.2358026,16.4650446,17.18473612,18.62822524
30,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT AMPASIMPOTSY,19.35360669,19.15180688,18.59717539,17.15570667,14.43399009,13.24368398,12.6274535,12.86178389,13.85384104,15.8326616,17.60250707,18.89011731,19.15360626,18.80113012,18.39284301,17.4557068,15.1339899,13.33819896,12.6274535,12.55629898,13.65384067,16.48767113,17.50250746,19.49011769,19.65360626,19.60248402,19.19284225,17.55570718,13.73399028,12.14368366,11.83862612,12.66178407,13.75384105,16.18198393,15.70250672,19.09011795,19.75360665,19.15180688,18.79284263,17.35570743,15.1339899,13.64368366,12.7274535,12.86178389,14.15384067,16.38198447,17.14749641,18.59011795
31,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,RANOMAFANA,FKT SAHANDRAZANA,19.79235305,19.63001082,19.07991845,17.63953729,14.81163769,13.70970702,13.01085048,13.30899488,14.28092405,16.24101964,18.0393916,19.29054519,19.59235257,19.28305811,18.8599797,17.93953681,15.51163831,13.79405711,13.01085048,12.99334518,14.0809241,16.9079112,17.93939123,19.89054557,20.09235257,20.0769639,19.65997894,18.03953692,14.11163787,12.60970677,12.24034666,13.10899507,14.18092448,16.5940658,16.13939016,19.49054441,20.19235268,19.63001082,19.25997932,17.83953805,15.51163831,14.10970677,13.11085069,13.30899488,14.5809241,16.79406656,17.57249898,18.99054441
32,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT MAROTOKO,21.61101548,21.45571225,20.86896565,19.45116306,16.66628321,15.66389123,15.04264281,15.17340598,16.0098654,17.88937311,19.62272637,20.87853975,21.41101595,21.05807023,20.69359581,19.75116291,17.36363706,15.76223388,15.04264281,14.87174801,15.80986518,18.56167019,19.52079538,21.47660813,21.91101595,21.95335523,21.49166416,19.85116329,15.96363782,14.56389128,14.31230876,14.97340572,15.90986506,18.1910148,17.72272666,21.0758936,22.0110151,21.45571225,21.09359543,19.65116382,17.36363706,16.06389158,15.14335679,15.17340598,16.30986446,18.39366167,19.14971534,20.57853888
33,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT AMBALAVIA,21.19972036,21.01291138,20.52828368,19.04179629,16.20853546,15.19185728,14.55214736,14.74910456,15.61635142,17.55752499,19.33591323,20.56328122,20.9997212,20.63539136,20.33592761,19.34179553,16.908535,15.278085,14.55214736,14.43533204,15.41635085,18.22740116,19.23591284,21.1632813,21.4997212,21.49043331,21.13592685,19.44179591,15.50853565,14.09185705,13.81331666,14.54910413,15.51635104,17.88000353,17.43591361,20.76328168,21.59972035,21.01291138,20.73592723,19.24179705,16.908535,15.59185705,14.65214741,14.74910456,15.91635066,18.08000429,18.86603684,20.26328168
34,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT AMBATOMITRATRAKA,21.15589455,20.9945584,20.50502605,18.99956166,16.19211245,15.15353434,14.52613508,14.72199031,15.59621508,17.53268966,19.32817764,20.5464111,20.95589569,20.62231788,20.29927403,19.2995618,16.89211308,15.23419104,14.52613508,14.40264655,15.39621498,18.21068239,19.22817726,21.14641058,21.45589569,21.46680042,21.09927326,19.39956218,15.49211309,14.05353451,13.79571241,14.52199021,15.4962147,17.86044818,17.42817757,20.74641096,21.55589477,20.9945584,20.69927365,19.19956242,16.89211308,15.55353451,14.62613503,14.72199031,15.89621422,18.06044849,18.85018505,20.24641096
35,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT AMBARIJATSY,21.30683829,21.12412475,20.63269239,19.1404087,16.30066505,15.30642358,14.65334127,14.8515109,15.71524676,17.65385671,19.43901134,20.66934008,21.10683943,20.74495858,20.43971653,19.44040793,17.00066444,15.39292158,14.65334127,14.53800806,15.51524599,18.32599861,19.33901096,21.26934046,21.60683943,21.60329216,21.23971577,19.54040831,15.60066524,14.20642347,13.91815128,14.65151013,15.61524638,17.97468992,17.53901119,20.86934084,21.70683844,21.12412475,20.83971615,19.34040946,17.00066444,15.70642347,14.75334139,14.8515109,16.01524573,18.17469015,18.96686968,20.36934084
36,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT AMBOHIMAHAVELONA,21.44886373,21.27943651,20.77447087,19.26367705,16.42489695,15.43360962,14.77509911,14.97716878,15.85206514,17.78454271,19.58467693,20.82251025,21.24886485,20.90032494,20.57626743,19.56367637,17.1248976,15.51869758,14.77509911,14.66225533,15.65206443,18.46185625,19.48467655,21.4225106,21.74886485,21.75854665,21.37626667,19.66367667,15.72489714,14.33361013,14.04643547,14.77716803,15.75206476,18.10543182,17.68467552,21.02251098,21.84886511,21.27943651,20.97626705,19.46367781,17.1248976,15.83361013,14.87509854,14.97716878,16.15206351,18.30543079,19.10736236,20.52251098
37,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT AMBOATROTROKA,21.5765638,21.39643217,20.87261183,19.3907618,16.54999441,15.56375477,14.90606896,15.08790243,15.95789596,17.89554886,19.65018421,20.88885578,21.37656316,21.00929818,20.68508122,19.69076107,17.24999339,15.65463133,14.90606896,14.77877838,15.75789609,18.57021377,19.55018383,21.48885439,21.87656316,21.88356649,21.48508045,19.79076143,15.84999461,14.46375444,14.17699322,14.88790256,15.85789558,18.20841203,17.75018449,21.08885475,21.97656354,21.39643217,21.08508084,19.59076256,17.24999339,15.96375445,15.0060684,15.08790243,16.25789603,18.4084127,19.17551819,20.58885475
38,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROTOKO,FKT MANDIAFASINA,21.59221965,21.42503072,20.86983043,19.45344046,16.60893102,15.62627327,14.96726032,15.13239652,15.99793912,17.86722482,19.6188991,20.88567959,21.39222052,21.02883509,20.70119407,19.75344096,17.30788103,15.72386238,14.96726032,14.82998449,15.79793901,18.53166147,19.51824647,21.48502593,21.89222052,21.92122786,21.50054104,19.85344134,15.90788206,14.52627375,14.22965236,14.93239601,15.89793931,18.17063002,17.7188982,21.08462947,21.99221927,21.42503072,21.10119368,19.65344122,17.30788103,16.02627382,15.0676567,15.13239652,16.29793837,18.37168024,19.15406469,20.5856789
